Name,Geburtsdatum,Geburtsort,Sterbedatum,Quelle,Sterbeort,Biografie,GND,Bild,,Biolex-Link
"DANCKWERTH, Caspar",,,25.1.1672,4;1976,Husum,"DANCKWERTH, Caspar, geb. um 1605 Oldenswort, gest. 25.1.1672 Husum; ev. – Arzt, Historiograph.",128718021,,,
"D’AUBERT, Franz Michael",21.8.1795,Rendsburg,15.5.1868,1;1970,Kiel,"D’AUBERT, Franz Michael, geb. 21.8.1795 Rendsburg, gest. 15.5.1868 Kiel; ev. – Bürgermeister, Politiker.",,,,
"DAVIDS, Bernhard Christian Friedrich",14.4.1822,Stöfs bei Lütjenburg,17.1.1876,1;1970,Hamburg,"DAVIDS, Bernhard Christian Friedrich, geb. 14.4.1822 Stöfs bei Lütjenburg, Krs. Plön, gest. 17.1.1876 Hamburg; ev. – Lehrer.",,,,
"DECKMANN, Christian Gottlieb",8.4.1798,Rendsburg,24.2.1837,4;1976,Kiel,"DECKMANN, Christian Gottlieb, geb. 8.4.1798 Rendsburg, gest. 24.2.1837 Kiel; ev. – Arzt, Anatom, Chirurg, Univ.-Prof.",104286210,,,
"DEECKE, Ernst Ludwig Heinrich",1.10.1805,Lübeck,24.4.1862,10;1994,ebd.,"DEECKE, Ernst Ludwig Heinrich, geb. 1.10.1805 Lübeck, gest. 24.4.1862 ebd.; ev. – Lehrer, Historiker, Bibliothekar.",116050500,,,
"DEHN, Friedrich Ludwig Baron (seit 1768 Graf) von",7.9.1697,,,8;1987,,"DEHN, Friedrich Ludwig Baron (seit 1768 Graf) von, geb. 7.9.1697, gest. 2.7.1771 Ludwigsburg b. Eckernförde, begr. Waabs; ev. – Diplomat, Statthalter in den Herzogtümern.",1055703993,,,
"DEHN, Siegfried Wilhelm",25.2.1799,Altona,12.4.1858,1;1970,Berlin,"DEHN, Siegfried Wilhelm, geb. 25.2.1799 Altona, gest. 12.4.1858 Berlin; ev. – Kustos d. Musiksammlung d. Königl. Bibliothek Berlin, Musikschriftsteller, Kompositionslehrer.",116054670,,,
"DEMUTH, Johann Christoph",2.4.1764,Petersdorf b. Sagan,,3;1974,,"DEMUTH, Johann Christoph, geb. 2.4.1764 Petersdorf b. Sagan, Schlesien, gest. 30.5.1831 Flensburg; kath. – Schauspieler, Sänger, Musikdirektor, Stadtmusikant.",1029390258,,,
"DENNER, Balthasar",15.11.1685,Hamburg,14.4.1749,6;1982,Rostock,"DENNER, Balthasar, geb. 15.11.1685 Hamburg, gest. 14.4.1749 Rostock; Mennonit. – Maler.",119355396,,,
"DENNER, Jacob",20.9.1659,Hamburg,17.2.1746,6;1982,Altona,"DENNER, Jacob, geb. 20.9.1659 Hamburg, gest. 17.2.1746 Altona; Mennonit. – Mennonitenprediger.",13573598X,,,
"VON DERNATH (van der Nath), Grafen",,,,,,"VON DERNATH (van der Nath), Grafen Das Geschlecht stammt aus den Niederlanden, aus der Provinz Brabant und wandte sich später nach Böhmen. Am 20.11.1655 wurden die Brüder Theodor, Gerhard und Leon in den Reichsgrafenstand erhoben. Gerhard ist der Begründer der holsteinischen Linie, die im Mannesstamme 1828 ausstarb. Die letzte Trägerin des Namens war die Gräfin Elise v. Dernath, die mit dem preußischen Staatsminister Graf Christian Günther v. Bernstorff verheiratet war; sie starb 1867. – Die Namensform des Geschlechtes war ursprünglich van der Nath und wurde bis weit in das 18. Jh. hinein beibehalten, erst dann kam die moderne Schreibweise auf: v. Dernath. Als eine der ersten Familien wurden die Dernath noch in der zweiten Hälfte des 17. Jh.s in die schleswig-holsteinische Ritterschaft rezipiert; das genaue Datum steht nicht fest. Von dem nicht zahlreichen Geschlecht treten die folgenden Persönlichkeiten besonders hervor (in zeitlicher Reihenfolge:",,,,
GERHARD GRAF VON DERNATH,1622,,12.1.1689,,,"GERHARD GRAF VON DERNATH, geb. 1622, gest. 12.1.1689; kursächsischer Kriegsrat, später auch Oberfalkoniermeister am kursächsischen Hofe.",138676054,,,
JOHANN GEORG GRAF VON DERNATH,31.12.1666,,10.3.1739,,,"1.) JOHANN GEORG GRAF VON DERNATH, geb. 31.12.1666, gest. 10.3.1739; herzoglich gottorpischer Konferenzrat, Landrat und Amtmann von Trittau und Reinbek, Herr auf Sierhagen und Oevelgönne.",1129710165,,,
GERHARD GRAF VON DERNATH,1668,,,,,"2.) GERHARD GRAF VON DERNATH, geb. 1668, gest. 12.7.1740 herzoglich gottorpischer Geheimer Rat und Generalleutnant, Herr auf Hasselburg, Oevelgönne und Kniephagen.",136192041,,,
FRIEDRICH OTTO GRAF VON DERNATH,12.8.1734,,7.4.1770,,,"Sein einziger Sohn FRIEDRICH OTTO GRAF VON DERNATH, geb. 12.8.1734, gest. 18.1.1805 Wismar, Herr auf Hasselburg, Oevelgönne und Perdöl in Holstein, Aakjaer und Dybvad in Dänemark, Geheimer Rat, Kammerherr und Landrat. Er war viermal vermählt. Aus seiner l.Ehe mit Elisabeth Christine von Plessen, get. 18.12.1744 Randers, gest. 7.4.1770, stammt sein Sohn.",,,,
MAGNUS GRAF VON DERNATH,31.8.1765,,15.4.1828,1;1970,,"3.) MAGNUS GRAF VON DERNATH, geb. 31.8.1765, gest. 15.4.1828, Herr auf Hasselburg in Holstein und Antvorskov in Dänemark, Geheimer Conferenzrat und Gesandter.",1098193180,,,
"DESMERCIERES, Jean Henri",8.5.1687,Paris,15.3.1778,1;1970,Kopenhagen,"DESMERCIERES, Jean Henri, geb. 8.5.1687 Paris, gest. 15.3.1778 Kopenhagen, begr. in der Kirche Flemhude bei Kiel; Calvinist. – Wirtschaftsführer, Bankdirektor, Koogsbegründer.",,,,
"DETHLEFFS, Sophie Auguste",10.2.1809,Heide i. Holstein,13.3.1864,2;1971,Hamburg,"DETHLEFFS, Sophie Auguste, geb. 10.2.1809 Heide i. Holstein, gest. 13.3.1864 Hamburg; ev. – Dichterin.",116086033,,,
"DETHLEFSEN, Richard Jepsen",24.8.1864,Grönland b. Ekensund,24.3.1944,3;1974,Heinrichswalde,"DETHLEFSEN, Richard Jepsen, geb. 24.8.1864 Grönland b. Ekensund, Krs Sonderburg, gest. 24.3.1944 Heinrichswalde, Ostpreußen, begr. Friedhof d. Luisenkirche in Königsberg in Preußen; ev. – Oberbaurat, Provinzial-Konservator.",1034710028,,,
"DETHMANN, Adolf",3.12.1896,Neumünster,6.8.1979,13;2011,Hamburg,"DETHMANN, Adolf, geb. 3.12.1896 Neumünster, gest. 6.8.1979 Hamburg; ev., später konfessionslos. – Staatswissenschaftler, Industriekaufmann, Buchhändler.",,,,
"DETLEFSEN, Sönnich Detlef Friedrich",25.9.1833,Neuendeich b. Uetersen,,3;1974,,"DETLEFSEN, Sönnich Detlef Friedrich, geb. 25.9.1833 Neuendeich b. Uetersen, gest. 21.7.1911 Glückstadt; ev. – Direktor d. kgl. Gymnasiums in Glückstadt (seit 25.9.1933 Detlefsen-Schule), Geh. Reg. Rat.",116086130,,,
"DETMERS, August Hinrich von",30.4.1730,,22.5.1781,2;1971,Rendsburg,"DETMERS, August Hinrich von, geb. 30.4.1730, Rastede, Oldenburg, gest. 22.5.1781 Rendsburg; ev. – Offizier.",,,,
"DIBLER (Dübler), Michel",,,14.12.1593,5;1979,Flensburg,"DIBLER (Dübler), Michel, gest. 14.12.1593 Flensburg; ev. – Glockengießer.",118746316,,,
"DIEDERICHSEN, Carl Heinrich Wilhelm Theodor",1.7.1865,Kiel,20.4.1942,1;1970,Hamburg,"DIEDERICHSEN, Carl Heinrich Wilhelm Theodor, geb. 1.7.1865 Kiel, gest. 20.4.1942 Hamburg; ev. – Überseekaufmann, Reeder, Werftbesitzer.",140023747,,,
"DIELS, Otto Paul Hermann",23.1.1876,Hamburg,17.3.1954,1;1970,Kiel,"DIELS, Otto Paul Hermann, geb. 23.1.1876 Hamburg, gest. 17.3.1954 Kiel; ev. – Universitätsprofessor.",116101474,,,
"DIEST, Johannes von",,,21.9.1259,2;1971,am Rhein,"DIEST, Johannes von, geb. etwa 1200, gest. 21.9.1259 am Rhein, begr. Neuß. Bischof Johann II. von Lübeck 1254–1259.",1150720395,,,
"DIETZ, Eduard Friedrich Carl August",8.2.1809,Ratzeburg,,1;1970,,"DIETZ, Eduard Friedrich Carl August, geb. 8.2.1809 Ratzeburg, gest. 12.7.1870 Ottensen (Stadtkreis Altona); ev. – Eisenbahningenieur, Direktor der Altona-Kieler Eisenbahn.",,,,
"DIETZ, Johann Heinrich Wilhelm",3.10.1843,Lübeck,22.8.1922,10;2000,Stuttgart,"DIETZ, Johann Heinrich Wilhelm, geb. 3.10.1843 Lübeck, gest. 22.8.1922 Stuttgart; ev. – Schriftsetzer, Verleger, Reichstagsabgeordneter.",11945842X,,,
"DIONIS, Albert (Alberto, Albertus, Albrecht, Alvaro)",,,,4;1976,,"DIONIS, Albert (Alberto, Albertus, Albrecht, Alvaro), geb. um 1576 Braga (Portugal), gest. 1644 Glückstadt (?); jüd. – Kaufmann, Münzmeister u. -agent.",,,,
"DISTLER, August Hugo",24.6.1908,Nürnberg,1.11.1942,9;1991,Berlin,"DISTLER, August Hugo, geb. 24.6.1908 Nürnberg, gest. 1.11.1942 Berlin; ev. – Kantor, Organist, Komponist.",118679848,,,
"DÖRRIES, Friedrich Carl Gustav",10.7.1852,Hamburg,,1;1970,,"DÖRRIES, Friedrich Carl Gustav, geb. 10.7.1852 Hamburg, gest. 21.2.1953 Volksdorf (Hamburg); ev. – Forschungsreisender, Tierpfleger.",1155540859,,,
"DOHRN, Hans Heinrich Alfred Rudolph",24.8.1836,Heide,2.12.1915,7;1985,Dresden,"DOHRN, Hans Heinrich Alfred Rudolph, geb. 24.8.1836 Heide, gest. 2.12.1915 Dresden; ev. – Gynäkologe.",116171278,,,
DONNER-FAMILIE,,,,9;1991,,"DONNER-FAMILIE. Die weitverzweigte Familie D. ist zuerst in dem zum Kloster Ahrensbök gehörenden Dorf Luschendorf, Ksp. Ratekau, in Ostholstein nachweisbar. Dort wird 1481 ein Hans D. als Besitzer einer Bauernstelle erwähnt, die auch seine Nachkommen besaßen. In der sechsten Generation erscheint ein aus Luschendorf gebürtiger Hutmacher Hans D., der seit 1599 Bürger in Lübeck war. Sein Bruder Hinrich (begr. 1649 in Nüsse) wohnte 1606 ebenfalls in Lübeck. Seit etwa 1615 amtierte dieser als Schleusenmeister der am Scheitelpunkt des Stecknitzkanals gelegenen Niederschleuse, die später nach seinem Sohn den Namen „Donnerschleuse“ erhielt. Er verfügte offenbar bereits über Besitz, denn in die Schleusenmeisterstelle mußte man sich wie in die meisten Ämter einkaufen; sie konnte dann allerdings weitervererbt werden. Nach Hinrich D. übte sein Sohn Hans (1622–1697) das Amt des Schleusenmeisters aus. Er gab es um 1675 an seinen Schwiegersohn Paul Steudel weiter, als er selbst sich in Mölln niederließ und dort 1676 das Bürgerrecht als Brauer erwarb. Von Hans D.s jüngstem Sohn aus zweiter Ehe, Joachim Hinrich (1683–1748), stammen alle weiteren Nachkommen ab.",,,,
"DONNER, Bernhard",30.11.1808,Altona,27.11.1865,9;1991,Altona-Neumühlen,"DONNER, Bernhard, geb. 30.11.1808 Altona, gest. 27.11.1865 Altona-Neumühlen; ev. – Kaufmann, Bankier.",135706971,,,
"DONNER, Conrad Hinrich",11.4.1774,Altona,1.1.1854,9;1991,ebd.,"DONNER, Conrad Hinrich, geb. 11.4.1774 Altona, gest. 1.1.1854 ebd.; ev. – Kaufmann, Reeder, Bankier.",135707099,,,
"DONNER, Conrad Hinrich (seit 1873: von; seit 1902 Freiherr von)",21.8.1844,Altona- Neumühlen,3.3.1911,9;1991,Rom,"DONNER, Conrad Hinrich (seit 1873: von; seit 1902 Freiherr von), geb. 21.8.1844 Altona- Neumühlen, gest. 3.3.1911 Rom, begr. Rethwisch b. Preetz; ev. – Kaufmann, Bankier.",1154457168,,,
"DONNER, Conrad Hinrich, Freiherr von",7.10.1876,Altona,,9;1991,,"DONNER, Conrad Hinrich, Freiherr von, geb. 7.10.1876 Altona, gest. 21.3.1937 Hamburg- Eppendorf; ev. – Gutsbesitzer.",1154456889,,,
"DONNER, Johann Christoph",15.2.1739,Gudow (Lauenburg),26.4.1804,9;1991,Altona,"DONNER, Johann Christoph, geb. 15.2.1739 Gudow (Lauenburg), gest. 26.4.1804 Altona; ev. – Kaufmann.",135707021,,,
"DONNER, Johann Otto",27.10.1808,Altona,16.2.1873,9;1991,ebd.,"DONNER, Johann Otto, geb. 27.10.1808 Altona, gest. 16.2.1873 ebd.; ev. – Seeoffizier.",,,,
"DOROTHEA, Kurfürstin von Brandenburg, geb. Prinzessin von Schleswig-Holstein-Sonderburg-Glücksburg",28.9.1636,Glücksburg,6.8.1689,6;1982,Karlsbad,"DOROTHEA, Kurfürstin von Brandenburg, geb. Prinzessin von Schleswig-Holstein-Sonderburg-Glücksburg, geb. 28.9.1636 Glücksburg, gest. 6.8.1689 Karlsbad, begr. Berlin Dom; luth., nach 1668 ref.",121123596,,,
"DOSE, Bernhard",3.10.1884,auf Nordstrand,23.1.1965,1;1970,Husum,"DOSE, Bernhard, geb. 3.10.1884 auf Nordstrand, gest. 23.1.1965 Husum; ev. – Maschinenbauer, Seemaschinist (Assistent).",,,,
"DOSE, Cay",,,27.7.1768,2;1971,,"DOSE, Cay, geb. vermutlich 1700, Geburtsort unbekannt, gest. 27.7.1768; Bauunternehmer, Baumeister.",123157285,,,
"DOUAI (Doway), Johann van",,,,12;2006,,"DOUAI (Doway), Johann van, gest. zwischen 1303 u. 1306. Kaufmann, Ratsherr, Gesandter.",,,,
"DRÄGER, Alexander Bernhard",14.6.1870,auf der Howe,,13;2011,,"DRÄGER, Alexander Bernhard, geb. 14.6.1870 auf der Howe, Ksp. Kirchwerder (Vierlande), gest. 12. 1. 1928 Lübeck; ev. – Ingenieur, Fabrikant.",116193727,,,
"DRÄGER, Johann Heinrich",29.7.1847,auf der Howe,29.5.1917,13;2011,Lübeck,"DRÄGER, Johann Heinrich, geb. 29.7.1847 auf der Howe, Ksp. Kirchwerder (Vierlande), gest. 29.5.1917 Lübeck; ev. – Mechaniker, Erfinder, Fabrikant.",118527134,,,
"DRÄGER, Otto Heinrich",2.7.1898,Lübeck,28.6.1986,13;2011,ebd.,"DRÄGER, Otto Heinrich, geb. 2.7.1898 Lübeck, gest. 28.6.1986 ebd.; ev. – Unternehmer, Publizist, Mäzen.",120940639,,,
"DRÄGER-MÜHLENPFORDT, Anna",9.10.1887,Lübeck,31.1.1984,12;2006,Braunschweig,"DRÄGER-MÜHLENPFORDT, Anna, geb. 9.10.1887 Lübeck, gest. 31.1.1984 Braunschweig; ev. – Malerin.",116193972,,,
"DREESEN, Wilhelm Anton Georg",31.3.1840,Rendsburg,18.12.1926,10;1994,Flensburg,"DREESEN, Wilhelm Anton Georg, geb. 31.3.1840 Rendsburg, gest. 18.12.1926 Flensburg, ev. – Photograph.",129954845,,,
"DREIS, Hans Christian",24.6.1809,Gaarden (= Kiel-Gaarden),22.7.1872,3;1974,Davenport,"DREIS, Hans Christian, geb. 24.6.1809 Gaarden (= Kiel-Gaarden), gest. 22.7.1872 Davenport, Iowa, USA; ev. – Lehrer, Geograph, Parlamentarier.",,,,
"DRENCKHAHN, Friedrich Johann Bernhard Christian",28.5.1894,Frauenmark,20.12.1977,10;1994,Hamburg,"DRENCKHAHN, Friedrich Johann Bernhard Christian, geb. 28.5.1894 Frauenmark, Kr. Parchim, gest. 20.12.1977 Hamburg, begr. Neumünster; ev. – Pädagoge, Oberschulrat.",116213744,,,
"DREWS, Christian Heinrich Arthur",1.11.1865,Uetersen,19.7.1935,2;1971,Illenau,"DREWS, Christian Heinrich Arthur, geb. 1.11.1865 Uetersen, Holstein, gest. 19.7.1935 Illenau, Krs Bühl, Baden; Dissident. – Philosoph.",116219351,,,
"DREYER, Benedikt",,,1553,8;1987,/55 Lübeck,"DREYER, Benedikt, geb. um 1485 Lübeck (?), gest. 1553/55 Lübeck. – Bildschnitzer.",130017442,,,
"DREYER, Ernst",1.1.1816,Altona,,2;1971,,"DREYER, Ernst, geb. 1.1.1816 Altona, get. 10.3.1816 Altonaer Hauptkirche, gest. 22.11.1899 Herischdorf i. Schlesien, begr. Bad Warmbrunn, ev. – Schiffsbaumeister, Reeder in Altona u. auf Neuhof (Reiherstieg).",1065690282,,,
"DREYER, Joachim Christian Daniel",5.4.1783,Altona,12.10.1875,2;1971,Oevelgönne,"DREYER, Joachim Christian Daniel, geb. 5.4.1783 Altona, get. 8.4.1783 Altona-Hauptgem., gest. 12.10.1875 Oevelgönne; ev. – Schiffsreeder, Kohlenimporteur.",,,,
"DREYER, Johann Carl Heinrich",13.12.1723,Waren,15.2.1802,5;1979,Lübeck,"DREYER, Johann Carl Heinrich, geb. 13.12.1723 Waren, Mecklenburg, gest. 15.2.1802 Lübeck; ev. – Gelehrter, Dompropst, Stadtdiplomat.",100113109,,,
"DÜCKER, Johann Friedrich",29.9.1826,Averlak,22.4.1917,9;1991,Altona,"DÜCKER, Johann Friedrich, geb. 29.9.1826 Averlak, Ksp. Eddelak (Süderdithmarschen), gest. 22.4.1917 Altona; ev. – Lehrer, Schriftsteller.",1055119256,,,
"DÜHRSSEN, Jakob Alfred",23.3.1862,Heide i. Holstein,10.10.1933,1;1970,Berlin,"DÜHRSSEN, Jakob Alfred, geb. 23.3.1862 Heide i. Holstein, gest. 10.10.1933 Berlin, ev. – Dr. med., ao. Prof. für Geburtshilfe und Gynäkologie an der Universität Berlin.",117657484,,,
"DÜHRSSEN, Heinrich Christian",19.6.1799,Eddelak,,1;1970,,"DÜHRSSEN, Heinrich Christian, geb. 19.6.1799 Eddelak, Süderdithmarschen, gest. 4.10.1838 Meldorf, ev. – Arzt, Dr. med. et chir.",1055207155,,,
"DÜHRSSEN, Walther Eugenius",28.8.1837,Meldorf,,1;1970,,"DÜHRSSEN, Walther Eugenius, geb. 28.8.1837 Meldorf, Süderdithmarschen, gest. 19.12.1914 Mölln; ev. – Amtsgerichtsrat, Heimatforscher.",1156515866,,,
"DÜRER, Hieronymus",,,6.7.1704,4;1976,Osnabrück,"DÜRER, Hieronymus, get. 23.12.1641 Glückstadt/Elbe, gest. 6.7.1704 Osnabrück, begr. 15.7.1704 in d. Katharinenkirche ebd.; ev.-luth. – Pastor Dichter.",129809713,,,
"DUMMER, Erich Albert Hermann",30.9.1889,Lübeck,7.2.1929,10;1994,ebd.,"DUMMER, Erich Albert Hermann, geb. 30.9.1889 Lübeck, gest. 7.2.1929 ebd.; ev. – Maler.",114643703X,,,
"DUMREICHER, Carl Otto",15.5.1799,Schleswig,7.1.1875,3;1974,Kiel,"DUMREICHER, Carl Otto, geb. 15.5.1799 Schleswig, gest. 7.1.1875 Kiel; ev. – Verwaltungsbeamter, Richter.",116251166,,,
"DUSCH, Anton Carl",10.4.1760,Altona,6.10.1829,5;1979,ebd.,"DUSCH, Anton Carl, geb. 10.4.1760 Altona, gest. 6.10.1829 ebd.; ev. – Advokat, Landschaftsmaler.",1178163539,,,
"DUSCH, Johann Jacob",12.2.1725,Celle,18.12.1787,5;1979,Altona,"DUSCH, Johann Jacob, geb. 12.2.1725 Celle, gest. 18.12.1787 Altona; ev. – Professor, zuletzt 2. Direktor am Christianeum in Altona, Dichter, Schriftsteller.",116257008,,,
"DUWE, Harald",28.1.1926,Hamburg,15.6.1984,12;2006,b. Tremsbüttel,"DUWE, Harald, geb. 28.1.1926 Hamburg, gest. 15.6.1984 b. Tremsbüttel, begr. Lütjensee; ev. – Maler, Graphiker, Zeichner.",118681419,,,
"ECKENER, Alexander (genannt Alex)",21.8.1870,Flensburg,26.5.1944,3;1974,Abtsgmünd,"ECKENER, Alexander (genannt Alex), geb. 21.8.1870 Flensburg, gest. 26.5.1944 Abtsgmünd; ev. – Maler u. Graphiker.",118830597,,,
"ECKENER, Hugo",10.8.1868,Flensburg,14.8.1954,3;1974,Friedrichshafen a. Bodensee,"ECKENER, Hugo, geb. 10.8.1868 Flensburg, gest. 14.8.1954 Friedrichshafen a. Bodensee; ev. – Journalist, Leiter d. Luftschiffahrt AG.",118528750,,,
"ECKERMANN, Christian Hinrich",30.11.1833,Elmshorn,8.6.1904,9;1991,Kiel,"ECKERMANN, Christian Hinrich, geb. 30.11.1833 Elmshorn, gest. 8.6.1904 Kiel; begr. Hamburg- Ohlsdorf; ev. – Tiefbauingenieur.",116346248,,,
"ECKLON, Christian Friedrich",17.12.1795,Apenrade,,4;1976,,"ECKLON, Christian Friedrich, geb. 17.12.1795 Apenrade, Nordschleswig, gest. Dezember 1868 Kapstadt, Südafrika; ev. – Apotheker, Botaniker, naturwissenschaftlicher Sammler.",116347821,,,
"ECKMANN, Joachim Hinrich Friedrich",26.2.1850,Langwedel,15.6.1922,3;1974,Kiel,"ECKMANN, Joachim Hinrich Friedrich, geb. 26.2.1850 Langwedel, Krs Rendsburg, gest. 15.6.1922 Kiel; ev. – Volksschulrektor, Schriftleiter d. „Heimat“.",1145311822,,,
"EDLEFSEN, Gustav Julius Friedrich Ferdinand",24.2.1842,Friedrichstadt,,4;1976,,"EDLEFSEN, Gustav Julius Friedrich Ferdinand, geb. 24.2.1842 Friedrichstadt, gest. 27.4.1910 Hamburg; ev. – Arzt, a. o. Prof. an d. Univ. Kiel.",116356146,,,
"EGARDUS, Paulus",1578,/79 Kellinghusen,,9;1991,,"EGARDUS, Paulus, geb. 1578/79 Kellinghusen, gest. in der Fastenzeit 1655 Nortorf; ev. – Pastor, Erbauungsschriftsteller.",121468984,,,
"EGGERS, Peter Hermann",24.2.1879,Rendsburg,17.6.1957,2;1971,ebd.,"EGGERS, Peter Hermann, geb. 24.2.1879 Rendsburg, gest. 17.6.1957 ebd.; ev. – Direktor d. Chemischen Düngerfabrik.",,,,
"EGGERS, Peter Hermann",13.2.1845,Friedrichstadt (Eider),18.9.1921,2;1971,Rendsburg,"EGGERS, Peter Hermann, geb. 13.2.1845 Friedrichstadt (Eider), gest. 18.9.1921 Rendsburg; ev. – Kaufmann, Gründer der Chemischen Düngerfabrik Rendsburg.",,,,
"EGGERSTEDT, Otto Friedrich",27.8.1886,Kiel,,10;1994,,"EGGERSTEDT, Otto Friedrich, geb. 27.8.1886 Kiel, gest. 12.10.1933 Konzentrationslager Esterwegen (Emsland). – Bäcker, Politiker, Polizeipräsident.",126289220,,,
"EHMSEN, Heinrich Wilhelm Emil",9.8.1886,Kiel,6.5.1964,10;1994,Berlin,"EHMSEN, Heinrich Wilhelm Emil, geb. 9.8.1886 Kiel, gest. 6.5.1964 Berlin, ev. – Maler, Graphiker.",118529242,,,
"EHRENBERG, Richard",5.2.1857,Wolfenbüttel,17.12.1921,3;1974,Rostock,"EHRENBERG, Richard, geb. 5.2.1857 Wolfenbüttel, gest. 17.12.1921 Rostock; ev. – Historiker, Nationalökonom. Geheimer Hofrat.",101264631,,,
"EHRTMANN, Adolf Jürgen",15.3.1897,Frankfurt/Main,7.3.1979,12;2006,Lübeck,"EHRTMANN, Adolf Jürgen, geb. 15.3.1897 Frankfurt/Main, gest. 7.3.1979 Lübeck; kath. – Versicherungskaufmann, Politiker, Widerstandskämpfer.",1065775962,,,
"EIMBKE, Georg",17.12.1771,Hamburg,20.3.1843,5;1979,Hamburg-Eppendorf,"EIMBKE, Georg, geb. 17.12.1771 Hamburg, gest. 20.3.1843 Hamburg-Eppendorf; ev. – Mediziner, Physiker, Apotheker.",100119670,,,
"EITZEN, Paul von",25.1.1521,Hamburg,25.2.1598,5;1979,Schleswig,"EITZEN, Paul von, geb. 25.1.1521 Hamburg, gest. 25.2.1598 Schleswig; ev. – Theologe, (General-) Superintendent.",129922706,,,
"ELEND, von El(l)en(d)sheim, Gottfried Heinrich",1.2.1706,Halberstadt (nicht Hannover),17.3.1771,1;1970,Kiel,"ELEND, von El(l)en(d)sheim, Gottfried Heinrich, geb. 1.2.1706 Halberstadt (nicht Hannover), get. St. Martini, gest. 17.3.1771 Kiel, begr. Bordesholm. Ev. – Jurist: Professor, Anwalt, Syndikus, hoher Regierungsbeamter.",121232468,,,
"ELEND, von El(l)en(d)sheim, Henriette Friederica",,,31.12.1808,1;1970,Kiel,"ELEND, von El(l)en(d)sheim, Henriette Friederica, 2.12.1741 (wo?), gest. 31.12.1808 Kiel, begr. ebd. St.-Jürgens-Kirchhof (Grabstein heute Eichhof), ev. –",,,,
"ELISABETH SOPHIE MARIE, Herzogin von Braunschweig-LüneburgWolfenbüttel",2.9.1683,Wolfenbüttel,3.4.1767,11;2000,Braunschweig,"ELISABETH SOPHIE MARIE, Herzogin von Braunschweig-LüneburgWolfenbüttel, geb. Prinzessin von Schleswig-Holstein-Sonderburg-Norburg, geb. 2.9.1683 Wolfenbüttel, gest. 3.4.1767 Braunschweig, begr. Wolfenbüttel (Marienkirche); ev. – Bibelsammlerin.",104277122,,,
"ELVERFELD, Jonas von",,,,3;1974,,"ELVERFELD, Jonas von, geb. um 1550 Krempe (?), gest. nach 1611; ev. – Dichter, Verwaltungsbeamter.",,,,
"EMDEN, Jacob (Israel) ben Zwi (abgekürzt genannt: Jabez)",4.6.1698,Altona,,5;1979,,"EMDEN, Jacob (Israel) ben Zwi (abgekürzt genannt: Jabez), geb. 4.6.1698 Altona, gest. 19.4.1776 ebd.; jüd. – Rabbiner-Jurist, Kaufmann u. Buchdruckereibesitzer in Altona.",118989316,,,
"EMEIS, Christian Sophus Johannes Carl",3.1.1831,Kluesries b. Flensburg,,8;1987,,"EMEIS, Christian Sophus Johannes Carl, geb. 3.1.1831 Kluesries b. Flensburg, gest. 2.3.1911 Flensburg; ev. Provinzialforstdirektor.",1036514943,,,
"EMEIS, Hermann Carl Thomas Walther",10.5.1891,Flensburg,28.5.1973,8;1987,ebd.,"EMEIS, Hermann Carl Thomas Walther, geb. 10.5.1891 Flensburg, gest. 28.5.1973 ebd.; ev. Biologe, Naturschützer.",118684469,,,
"ENGEL, Caspar Arnold Gotthold Johann",20.11.1799,Oldenburg (Holstein),22.10.1863,9;1991,Altona,"ENGEL, Caspar Arnold Gotthold Johann, geb. 20.11.1799 Oldenburg (Holstein), gest. 22.10.1863 Altona, begr. Hamburg; ev. – Jurist, Politiker.",102476780,,,
"ENGEL, Otto H.(einrich)",27.12.1866,Erbach (Odenwald),30.1.1949,10;1994,Glücksburg,"ENGEL, Otto H.(einrich), geb. 27.12.1866 Erbach (Odenwald), gest. 30.1.1949 Glücksburg; ev. – Maler.",118932748,,,
"ENGELBRECHT, Thies Hinrich",6.10.1853,Herzhorn,18.10.1934,8;1987,ebd.,"ENGELBRECHT, Thies Hinrich, geb. 6.10.1853 Herzhorn, Kr. Steinburg, gest. 18.10.1934 ebd.; ev. – Landwirt, Politiker, Agrargeograph.",116488638,,,
"ENTZ, Paul",16.10.1859,Elbing,27.9.1936,3;1974,Rendsburg,"ENTZ, Paul, geb. 16.10.1859 Elbing, gest. 27.9.1936 Rendsburg; ev. – Kaufmann, Konsul.",,,,
"ENTZ-VON ZERSSEN, Thomas Johann Gottfried",22.10.1899,Rendsburg,,3;1974,,"ENTZ-VON ZERSSEN, Thomas Johann Gottfried, geb. 22.10.1899 Rendsburg, gest. 4.4.1970 ebd.; ev. – Reeder, Kaufmann.",,,,
"ENUM, Johan von (auch Johan a Enum, von Einem, von Enem, von Einum), in archivalischen Quellen meist Johan Maler genannt",,,,6;1982,,"ENUM, Johan von (auch Johan a Enum, von Einem, von Enem, von Einum), in archivalischen Quellen meist Johan Maler genannt, gest. vor 19.8.? 1615 in Dänemark; ev. – Maler.",135910110,,,
"ERASMI, Johanna Dorothea Charlotte geb. Reinboth",18.6.1827,Lübeck,,12;2006,,"ERASMI, Johanna Dorothea Charlotte geb. Reinboth, geb. 18.6.1827 Lübeck, gest. 4.8.1893 Niendorf/Ostsee; ev. – Konservenfabrikantin.",,,,
